Number,Date,State/Tribal Government,Incident Description,Declaration Type
2710,7/8/2007,South Dakota,Alabaugh Canyon Fire,Fire Management Assistance Declaration
2709,7/8/2007,Nevada,Hungry Valley Fire,Fire Management Assistance Declaration
2711,7/8/2007,Washington,Easy Street Fire,Fire Management Assistance Declaration
2708,7/8/2007,California,Canyon Fire,Fire Management Assistance Declaration
2706,7/7/2007,California,Inyo Fire Complex,Fire Management Assistance Declaration
1712,7/7/2007,Oklahoma,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
2707,7/7/2007,Utah,Milford Flats Fire,Fire Management Assistance Declaration
2704,7/6/2007,Nevada,Red Rock Fire,Fire Management Assistance Declaration
2705,7/6/2007,Nevada,Sleepy Elephant Fire,Fire Management Assistance Declaration
1710,7/2/2007,New York,Severe Storms and Flooding,Major Disaster Declaration
1711,7/2/2007,Kansas,Severe Storms and Flooding,Major Disaster Declaration
2703,6/30/2007,Utah,Neola Morris Fire,Fire Management Assistance Declaration
1709,6/29/2007,Texas,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
2702,6/29/2007,California,Creek Fire,Fire Management Assistance Declaration
2701,6/28/2007,Hawaii,Olowalu Fire,Fire Management Assistance Declaration
2696,6/27/2007,Florida,Okeechobee Fire Complex,Fire Management Assistance Declaration
2700,6/24/2007,California,Angora Fire,Fire Management Assistance Declaration
2699,6/22/2007,Alaska,Carbou Hills Fire,Fire Management Assistance Declaration
2698,6/19/2007,Colorado,Newcastle Fire,Fire Management Assistance Declaration
1708,6/11/2007,Missouri,Severe Storms and Flooding,Major Disaster Declaration
1707,6/7/2007,Oklahoma,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1706,6/6/2007,Nebraska,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
2697,5/31/2007,Georgia,Harveytown Fire,Fire Management Assistance Declaration
1703,5/25/2007,Kentucky,"Severe Storms, Flooding, Mudslides, and Rockslides",Major Disaster Declaration
1705,5/25/2007,Iowa,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
1704,5/25/2007,Rhode Island,Severe Storms and Inland and Coastal Flooding,Major Disaster Declaration
1702,5/22/2007,South Dakota,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1701,5/16/2007,Massachusetts,Severe Storms and Inland and Coastal Flooding,Major Disaster Declaration
2695,5/16/2007,New Jersey,Warren Grove Fire,Fire Management Assistance Declaration
1700,5/11/2007,Connecticut,Severe Storms and Flooding,Major Disaster Declaration
2694,5/10/2007,California,Island Fire,Fire Management Assistance Declaration
2691,5/9/2007,California,Griffith Park Fire,Fire Management Assistance Declaration
2692,5/9/2007,Florida,Caloosahatchee Fire Complex,Fire Management Assistance Declaration
2693,5/9/2007,Georgia,Bugaboo Scrub Fire,Fire Management Assistance Declaration
2690,5/8/2007,Florida,Black Creek Fire,Fire Management Assistance Declaration
2689,5/7/2007,Florida,Suwannee Fire Complex,Fire Management Assistance Declaration
1699,5/6/2007,Kansas,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
2688,5/5/2007,Georgia,Roundabout Fire,Fire Management Assistance Declaration
1698,5/4/2007,Vermont,Severe Storms and Flooding,Major Disaster Declaration
2687,5/2/2007,Florida,Deland Fire Complex,Fire Management Assistance Declaration
1697,5/1/2007,Texas,Severe Storms and Tornadoes,Major Disaster Declaration
1696,5/1/2007,West Virginia,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
1695,4/27/2007,New Hampshire,Severe Storms and Flooding,Major Disaster Declaration
2686,4/26/2007,Georgia,Kneeknocker Swamp Fire,Fire Management Assistance Declaration
1694,4/26/2007,New Jersey,Severe Storms and Inland and Coastal Flooding,Major Disaster Declaration
1693,4/25/2007,Maine,Severe Storms and Inland and Coastal Flooding,Major Disaster Declaration
1692,4/24/2007,New York,Severe Storms and Inland and Coastal Flooding,Major Disaster Declaration
1691,4/20/2007,Maine,Flooding,Major Disaster Declaration
2685,4/17/2007,Georgia,Sweat Farm Road Fire,Fire Management Assistance Declaration
1690,4/2/2007,New Mexico,Severe Storms and Tornadoes,Major Disaster Declaration
3275,3/30/2007,Iowa,Snow,Emergency Declaration
2684,3/26/2007,Florida,53 Big Pine Fire,Fire Management Assistance Declaration
1688,3/14/2007,Iowa,Severe Winter Storms,Major Disaster Declaration
1689,3/13/2007,California,Severe Freeze,Major Disaster Declaration
3274,3/12/2007,Indiana,Snow,Emergency Declaration
2683,3/11/2007,California,241 Fire,Fire Management Assistance Declaration
1686,3/3/2007,Georgia,Severe Storms and Tornadoes,Major Disaster Declaration
1687,3/3/2007,Alabama,Severe Storms and Tornadoes,Major Disaster Declaration
2682,2/24/2007,New Mexico,Belen Fire,Fire Management Assistance Declaration
1685,2/23/2007,Louisiana,Severe Storms and Tornadoes,Major Disaster Declaration
3273,2/23/2007,New York,Snow,Emergency Declaration
1684,2/23/2007,Pennsylvania,Severe Storms and Flooding,Major Disaster Declaration
1683,2/22/2007,Oregon,Severe Winter Storm and Flooding,Major Disaster Declaration
1682,2/14/2007,Washington,"Severe Winter Storm, Landslides, and Mudslides",Major Disaster Declaration
1681,2/9/2007,Illinois,Severe Winter Storm,Major Disaster Declaration
1680,2/8/2007,Florida,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1679,2/3/2007,Florida,Severe Storms and Tornadoes,Major Disaster Declaration
1677,2/1/2007,Oklahoma,Severe Winter Storm,Major Disaster Declaration
1678,2/1/2007,Oklahoma,Severe Winter Storms,Major Disaster Declaration
1676,1/15/2007,Missouri,Severe Winter Storms and Flooding,Major Disaster Declaration
3272,1/14/2007,Oklahoma,Severe Winter Storms and Flooding,Emergency Declaration
1674,1/7/2007,Nebraska,Severe Winter Storms,Major Disaster Declaration
1675,1/7/2007,Kansas,Severe Winter Storm,Major Disaster Declaration
3270,1/7/2007,Colorado,Snow,Emergency Declaration
3271,1/7/2007,Colorado,Snow,Emergency Declaration
3299,12/18/2008,New York,Severe Winter Storm,Emergency Declaration
3298,12/15/2008,Maine,Severe Winter Storm,Emergency Declaration
3296,12/13/2008,Massachusetts,Severe Winter Storm,Emergency Declaration
3297,12/13/2008,New Hampshire,Severe Winter Storm,Emergency Declaration
1811,12/12/2008,South Dakota,Severe Winter Storm and Record and Near Record Snow,Major Disaster Declaration
1810,11/18/2008,California,Wildfires,Major Disaster Declaration
2792,11/15/2008,California,Freeway Complex Fire,Fire Management Assistance Declaration
2791,11/15/2008,California,Sayre Fire,Fire Management Assistance Declaration
2790,11/14/2008,California,Tea Fire,Fire Management Assistance Declaration
1809,11/13/2008,Missouri,"Severe Storms, Flooding, and a Tornado",Major Disaster Declaration
1808,10/31/2008,Kansas,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
1807,10/29/2008,Virgin Islands,Hurricane Omar,Major Disaster Declaration
1806,10/27/2008,Florida,Hurricane Gustav,Major Disaster Declaration
1805,10/24/2008,Ohio,Severe Wind Storm associated with Tropical Depression Ike,Major Disaster Declaration
1804,10/22/2008,Arkansas,Tropical Storm Ike,Major Disaster Declaration
2789,10/13/2008,California,Sesnon Fire,Fire Management Assistance Declaration
2788,10/12/2008,California,Mareck Fire,Fire Management Assistance Declaration
1803,10/9/2008,Oklahoma,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1802,10/9/2008,Kentucky,Severe Wind Storm associated with Tropical Depression Ike,Major Disaster Declaration
1801,10/8/2008,North Carolina,Tropical Storm Hanna,Major Disaster Declaration
1800,10/3/2008,Illinois,Severe Storms and Flooding,Major Disaster Declaration
1799,10/3/2008,New Hampshire,Severe Storms and Flooding,Major Disaster Declaration
1798,10/1/2008,Puerto Rico,Severe Storms and Flooding,Major Disaster Declaration
1796,9/26/2008,Alaska,"Severe Storms, Flooding, Landslides, and Mudslides",Major Disaster Declaration
1797,9/26/2008,Alabama,Severe Storms and Flooding associated with Hurricane Ike,Major Disaster Declaration
1795,9/23/2008,Indiana,Severe Storms and Flooding,Major Disaster Declaration
1794,9/22/2008,Mississippi,Hurricane Gustav,Major Disaster Declaration
1793,9/18/2008,Arkansas,Severe Storms and Flooding associated with Hurricane Gustav,Major Disaster Declaration
2787,9/17/2008,Oregon,Royce Butte Fire,Fire Management Assistance Declaration
1791,9/13/2008,Texas,Hurricane Ike,Major Disaster Declaration
1792,9/13/2008,Louisiana,Hurricane Ike,Major Disaster Declaration
1790,9/12/2008,Vermont,Severe Storms and Flooding,Major Disaster Declaration
3295,9/11/2008,Louisiana,Hurricane Ike,Emergency Declaration
3294,9/10/2008,Texas,Hurricane Ike,Emergency Declaration
1789,9/10/2008,Alabama,Hurricane Gustav,Major Disaster Declaration
1788,9/9/2008,Maine,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
3293,9/7/2008,Florida,Hurricane Ike,Emergency Declaration
1787,9/5/2008,New Hampshire,Severe Storms and Flooding,Major Disaster Declaration
1786,9/2/2008,Louisiana,Hurricane Gustav,Major Disaster Declaration
2786,9/2/2008,California,Gladding Fire,Fire Management Assistance Declaration
3291,8/30/2008,Mississippi,Hurricane Gustav,Emergency Declaration
3292,8/30/2008,Alabama,Hurricane Gustav,Emergency Declaration
3290,8/29/2008,Texas,Hurricane Gustav,Emergency Declaration
3289,8/29/2008,Louisiana,Hurricane Gustav,Emergency Declaration
1785,8/24/2008,Florida,Tropical Storm Fay,Major Disaster Declaration
3288,8/21/2008,Florida,Tropical Storm Fay,Emergency Declaration
1784,8/15/2008,Vermont,"Severe Storms, a Tornado, and Flooding",Major Disaster Declaration
1783,8/14/2008,New Mexico,Severe Storms and Flooding,Major Disaster Declaration
1782,8/11/2008,New Hampshire,"Severe Storms, Tornado, and Flooding",Major Disaster Declaration
2785,8/7/2008,Texas,Florence Fire,Fire Management Assistance Declaration
1781,7/31/2008,Idaho,Flooding,Major Disaster Declaration
1780,7/24/2008,Texas,Hurricane Dolly,Major Disaster Declaration
1779,7/18/2008,Nebraska,"Severe Storms, Straight-line winds, and Flooding",Major Disaster Declaration
1778,7/15/2008,Vermont,Severe Storms and Flooding,Major Disaster Declaration
1777,7/14/2008,Michigan,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
2784,7/11/2008,Washington,Badger Mountain Fire Complex,Fire Management Assistance Declaration
2783,7/11/2008,Washington,Spokane Valley Fire,Fire Management Assistance Declaration
1775,7/9/2008,Oklahoma,Severe Storms and Flooding,Major Disaster Declaration
1776,7/9/2008,Kansas,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
1774,7/9/2008,South Dakota,Severe Storms and Flooding,Major Disaster Declaration
2782,7/8/2008,California,Camp Fire,Fire Management Assistance Declaration
2781,7/4/2008,California,Basin Fire Complex,Fire Management Assistance Declaration
2780,7/4/2008,California,Gap Fire,Fire Management Assistance Declaration
2779,6/29/2008,Arizona,Lane 2 Fire,Fire Management Assistance Declaration
3287,6/28/2008,California,Wildfires,Emergency Declaration
2778,6/27/2008,Colorado,Nash Ranch Fire,Fire Management Assistance Declaration
1773,6/25/2008,Missouri,Severe Storms and Flooding,Major Disaster Declaration
2777,6/25/2008,New Mexico,Big Springs Fire,Fire Management Assistance Declaration
1772,6/25/2008,Minnesota,Severe Storms and Flooding,Major Disaster Declaration
1771,6/24/2008,Illinois,Severe Storms and Flooding,Major Disaster Declaration
2776,6/22/2008,California,Wild Fire,Fire Management Assistance Declaration
1770,6/20/2008,Nebraska,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
2775,6/20/2008,California,Trabing Fire,Fire Management Assistance Declaration
1769,6/19/2008,West Virginia,"Severe Storms, Tornadoes, Flooding, Mudslides, and Landslides",Major Disaster Declaration
2774,6/16/2008,Texas,Camp Bowie Fire,Fire Management Assistance Declaration
1768,6/14/2008,Wisconsin,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1767,6/13/2008,Montana,Severe Winter Storm,Major Disaster Declaration
2773,6/13/2008,North Carolina,Evans Road Fire,Fire Management Assistance Declaration
2772,6/11/2008,California,Martin Fire,Fire Management Assistance Declaration
2771,6/11/2008,California,Humboldt Fire,Fire Management Assistance Declaration
2770,6/10/2008,California,Ophir Fire,Fire Management Assistance Declaration
1766,6/8/2008,Indiana,Severe Storms and Flooding,Major Disaster Declaration
2769,6/5/2008,Oklahoma,Gotebo Fire,Fire Management Assistance Declaration
2768,6/4/2008,Texas,Hughes Ranch Fire,Fire Management Assistance Declaration
2767,6/3/2008,Texas,Rein Street Fire,Fire Management Assistance Declaration
1765,5/30/2008,Nebraska,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1764,5/28/2008,Mississippi,Severe Storms and Tornadoes,Major Disaster Declaration
1763,5/27/2008,Iowa,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1762,5/26/2008,Colorado,Severe Storms and Tornadoes,Major Disaster Declaration
1761,5/23/2008,Georgia,Severe Storms and Flooding,Major Disaster Declaration
1760,5/23/2008,Missouri,Severe Storms and Tornadoes,Major Disaster Declaration
2766,5/22/2008,California,Summit Fire,Fire Management Assistance Declaration
1759,5/22/2008,South Dakota,Severe Winter Storm and Record and Near Record Snow,Major Disaster Declaration
1758,5/20/2008,Arkansas,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
1757,5/19/2008,Kentucky,"Severe Storms, Tornadoes, Flooding, Mudslides, and Landslides",Major Disaster Declaration
1756,5/14/2008,Oklahoma,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
2765,5/12/2008,Florida,Brevard Fire Complex,Fire Management Assistance Declaration
1754,5/9/2008,Oklahoma,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1755,5/9/2008,Maine,Severe Storms and Flooding,Major Disaster Declaration
1753,5/8/2008,Mississippi,Severe Storms and Flooding,Major Disaster Declaration
1752,5/5/2008,Oklahoma,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
2764,5/1/2008,Texas,Price Fire,Fire Management Assistance Declaration
2763,4/27/2008,California,Santa Anita Fire,Fire Management Assistance Declaration
3286,4/24/2008,Ohio,Snow,Emergency Declaration
2762,4/21/2008,New Mexico,Trigo Fire,Fire Management Assistance Declaration
2761,4/16/2008,Texas,Hebbronville Fire,Fire Management Assistance Declaration
2760,4/15/2008,Colorado,Ordway Fire,Fire Management Assistance Declaration
2759,4/10/2008,Texas,Parker Fire,Fire Management Assistance Declaration
2758,3/31/2008,Texas,Kentwood Fire,Fire Management Assistance Declaration
2757,3/27/2008,Texas,Silver Heels Fire,Fire Management Assistance Declaration
1751,3/26/2008,Arkansas,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
2756,3/21/2008,Oklahoma,Quinlan Fire,Fire Management Assistance Declaration
1750,3/20/2008,Georgia,Severe Storms and Tornadoes,Major Disaster Declaration
3285,3/19/2008,Wisconsin,Snow,Emergency Declaration
2754,3/19/2008,Texas,Burns Ranch Fire,Fire Management Assistance Declaration
1749,3/19/2008,Missouri,Severe Storms and Flooding,Major Disaster Declaration
2755,3/19/2008,Texas,Encino Fire,Fire Management Assistance Declaration
2753,3/15/2008,Texas,322 Fire,Fire Management Assistance Declaration
2752,3/14/2008,Texas,Eighty-two Fire,Fire Management Assistance Declaration
3284,3/14/2008,Texas,Wildfires,Emergency Declaration
2751,3/14/2008,Texas,Old Bastrop Highway Fire Complex,Fire Management Assistance Declaration
3283,3/13/2008,Illinois,Snow,Emergency Declaration
1748,3/12/2008,Missouri,Severe Winter Storms and Flooding,Major Disaster Declaration
2750,3/12/2008,Texas,Arabella Fire,Fire Management Assistance Declaration
1747,3/7/2008,Illinois,Severe Storms and Flooding,Major Disaster Declaration
2749,3/4/2008,Texas,La Perla Fire,Fire Management Assistance Declaration
2748,2/28/2008,Texas,New Archer Fire,Fire Management Assistance Declaration
2747,2/25/2008,Texas,Silver Fire,Fire Management Assistance Declaration
2745,2/25/2008,Texas,South Odessa Fire,Fire Management Assistance Declaration
2746,2/25/2008,Oklahoma,South Woodward Fire,Fire Management Assistance Declaration
2744,2/23/2008,Texas,Scurry Complex Fire,Fire Management Assistance Declaration
1746,2/21/2008,Kentucky,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
2743,2/13/2008,Texas,Broadway Fire,Fire Management Assistance Declaration
2742,2/8/2008,Texas,Chevron Fire,Fire Management Assistance Declaration
1745,2/7/2008,Tennessee,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",Major Disaster Declaration
1744,2/7/2008,Arkansas,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1743,2/6/2008,Hawaii,"Severe Storms, High Surf, Flooding, and Mudslides",Major Disaster Declaration
1742,2/5/2008,Missouri,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1741,2/1/2008,Kansas,Severe Winter Storms,Major Disaster Declaration
1740,1/30/2008,Indiana,Severe Storms and Flooding,Major Disaster Declaration
1739,1/11/2008,Nebraska,Severe Winter Storm,Major Disaster Declaration
1738,1/8/2008,Nevada,Severe Winter Storms and Flooding,Major Disaster Declaration
1737,1/4/2008,Iowa,Severe Winter Storm,Major Disaster Declaration
1870,12/31/2009,Alabama,Severe Storms and Flooding,Major Disaster Declaration
1869,12/31/2009,New York,Severe Storms and Flooding Associated with Tropical Depression Ida and a Nor'easter,Major Disaster Declaration
1868,12/23/2009,Kansas,Severe Winter Storm,Major Disaster Declaration
1866,12/22/2009,Alabama,Tropical Storm Ida,Major Disaster Declaration
1867,12/22/2009,New Jersey,Severe Storms and Flooding Associated with Tropical Depression Ida and a Nor'easter,Major Disaster Declaration
1865,12/18/2009,Alaska,"Severe Storms, Flooding, Mudslides, and Rockslides",Major Disaster Declaration
1864,12/16/2009,Nebraska,Severe Winter Storm,Major Disaster Declaration
1863,12/10/2009,Louisiana,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1862,12/9/2009,Virginia,Severe Storms and Flooding Associated with Tropical Depression Ida and a Nor'easter,Major Disaster Declaration
1861,12/3/2009,Arkansas,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
3306,10/24/2009,Puerto Rico,Explosions and Fire,Emergency Declaration
2841,10/4/2009,California,Sheep Fire,Fire Management Assistance Declaration
2840,10/3/2009,Arizona,Twin Fire,Fire Management Assistance Declaration
1860,9/30/2009,Kansas,Severe Storms and Flooding,Major Disaster Declaration
1859,9/29/2009,American Samoa,"Earthquake, Tsunami, and Flooding",Major Disaster Declaration
1858,9/24/2009,Georgia,Severe Storms and Flooding,Major Disaster Declaration
2838,9/22/2009,Oregon,South County Fire Complex,Fire Management Assistance Declaration
2839,9/22/2009,California,Guiberson Fire,Fire Management Assistance Declaration
2837,9/4/2009,Montana,Eagle Mount Fire,Fire Management Assistance Declaration
1857,9/1/2009,New York,Severe Storms and Flooding,Major Disaster Declaration
2836,9/1/2009,California,Pendleton Fire,Fire Management Assistance Declaration
2834,8/31/2009,Hawaii,Kaunakakai Fire,Fire Management Assistance Declaration
2833,8/31/2009,California,Oak Glen Fire,Fire Management Assistance Declaration
2832,8/31/2009,California,49er Fire,Fire Management Assistance Declaration
2835,8/31/2009,Arizona,Water Wheel Fire,Fire Management Assistance Declaration
2831,8/30/2009,Utah,Mill Flat Fire,Fire Management Assistance Declaration
2830,8/28/2009,California,Station Fire,Fire Management Assistance Declaration
2829,8/28/2009,Oregon,Microwave Fire,Fire Management Assistance Declaration
2828,8/28/2009,California,PV Fire,Fire Management Assistance Declaration
2827,8/22/2009,Washington,Dry Creek Fire Complex,Fire Management Assistance Declaration
2826,8/22/2009,Washington,Oden Road Fire,Fire Management Assistance Declaration
1856,8/21/2009,Tennessee,Severe Storms and Flooding,Major Disaster Declaration
2825,8/15/2009,California,Yuba Fire,Fire Management Assistance Declaration
1855,8/14/2009,Kentucky,"Severe Storms, Straight-line Winds, and Flooding",Major Disaster Declaration
2824,8/13/2009,California,Lockheed Fire,Fire Management Assistance Declaration
1854,8/13/2009,Iowa,Severe Storm,Major Disaster Declaration
1853,7/31/2009,Nebraska,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1852,7/30/2009,Maine,"Severe Storms, Flooding, and Landslides",Major Disaster Declaration
2823,7/29/2009,Washington,Union Valley Fire,Fire Management Assistance Declaration
2822,7/17/2009,Nevada,Red Rock Fire,Fire Management Assistance Declaration
1851,7/13/2009,Tennessee,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",Major Disaster Declaration
1850,7/2/2009,Illinois,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
1849,6/25/2009,Kansas,"Severe Storms, Flooding, Straight-line Winds, and Tornadoes",Major Disaster Declaration
1848,6/24/2009,Kansas,Severe Winter Storm and Record and Near Record Snow,Major Disaster Declaration
3305,6/23/2009,Oklahoma,Snow,Emergency Declaration
1847,6/19/2009,Missouri,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1846,6/19/2009,Oklahoma,Wildfires,Major Disaster Declaration
1844,6/16/2009,South Dakota,Severe Storms and Flooding,Major Disaster Declaration
1845,6/16/2009,Arkansas,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1843,6/11/2009,Alaska,Flooding and Ice Jams,Major Disaster Declaration
1842,6/3/2009,Alabama,"Severe Storms, Tornadoes, Flooding, and Straight-line Winds",Major Disaster Declaration
1841,5/29/2009,Kentucky,"Severe Storms, Tornadoes, Flooding, and Mudslides",Major Disaster Declaration
1840,5/27/2009,Florida,"Severe Storms, Flooding, Tornadoes, and Straight-line Winds",Major Disaster Declaration
2821,5/18/2009,Arizona,Mule Pass Fire,Fire Management Assistance Declaration
1838,5/15/2009,West Virginia,"Severe Storms, Flooding, Mudslides, and Landslides",Major Disaster Declaration
1839,5/15/2009,Tennessee,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
2820,5/14/2009,Alaska,Mile 17 East End Road Fire,Fire Management Assistance Declaration
2819,5/12/2009,Florida,Martin County Fire Complex,Fire Management Assistance Declaration
1837,5/12/2009,Mississippi,"Severe Storms, Flooding, and Tornadoes",Major Disaster Declaration
1836,5/8/2009,Alabama,"Severe Storms, Flooding, Tornadoes, and Straight-line Winds",Major Disaster Declaration
2818,5/7/2009,New Mexico,Buckwood Fire,Fire Management Assistance Declaration
2817,5/6/2009,California,Jesusita Fire,Fire Management Assistance Declaration
1835,4/28/2009,Alabama,"Severe Storms, Flooding, Tornadoes, and Straight-line Winds",Major Disaster Declaration
1834,4/27/2009,Arkansas,Severe Storms and Tornadoes,Major Disaster Declaration
2816,4/23/2009,South Carolina,Highway 31 Fire,Fire Management Assistance Declaration
1833,4/23/2009,Georgia,"Severe Storms, Flooding, Tornadoes, and Straight-line Winds",Major Disaster Declaration
1832,4/22/2009,Indiana,"Severe Storms, Tornadoes, and Flooding",Major Disaster Declaration
1831,4/21/2009,Florida,"Severe Storms, Flooding, Tornadoes, and Straight-line Winds",Major Disaster Declaration
2805,4/10/2009,Texas,Electra West Fire,Fire Management Assistance Declaration
2807,4/10/2009,Texas,Cement Mountain Fire,Fire Management Assistance Declaration
2808,4/10/2009,Oklahoma,Midwest Choctaw Fire,Fire Management Assistance Declaration
2809,4/10/2009,Oklahoma,McClain Fire,Fire Management Assistance Declaration
2806,4/10/2009,Texas,Montague Fire Complex,Fire Management Assistance Declaration
2810,4/10/2009,Texas,Breckenridge Fire,Fire Management Assistance Declaration
2811,4/10/2009,Oklahoma,Healdton Carter County Fire,Fire Management Assistance Declaration
2815,4/10/2009,Texas,617 Fire,Fire Management Assistance Declaration
2813,4/10/2009,Oklahoma,Mulhull Fire,Fire Management Assistance Declaration
2814,4/10/2009,Texas,1148 Fire,Fire Management Assistance Declaration
2812,4/10/2009,Oklahoma,Velma Fire,Fire Management Assistance Declaration
1830,4/9/2009,Minnesota,Severe Storms and Flooding,Major Disaster Declaration
2804,4/7/2009,Texas,Steel Fire,Fire Management Assistance Declaration
2803,4/5/2009,Texas,Holiday Beach Fire,Fire Management Assistance Declaration
2802,4/4/2009,Texas,Magic City Fire,Fire Management Assistance Declaration
2801,4/3/2009,Texas,Lagarto Fire,Fire Management Assistance Declaration
3304,3/26/2009,Minnesota,Severe Storms and Flooding,Emergency Declaration
1829,3/24/2009,North Dakota,Severe Storms and Flooding,Major Disaster Declaration
2800,3/20/2009,Texas,Greenwood Fire,Fire Management Assistance Declaration
1828,3/5/2009,Indiana,Severe Winter Storm,Major Disaster Declaration
2799,3/5/2009,Oklahoma,Taloga Fire,Fire Management Assistance Declaration
2798,3/5/2009,Texas,Tuscola Fire,Fire Management Assistance Declaration
1827,3/4/2009,New York,Severe Winter Storm,Major Disaster Declaration
2797,3/3/2009,Texas,Loma Del Norte Fire,Fire Management Assistance Declaration
1824,3/2/2009,Oregon,"Severe Winter Storm, Record and Near Record Snow, Landslides, and Mudslides",Major Disaster Declaration
1825,3/2/2009,Washington,Severe Winter Storm and Record and Near Record Snow,Major Disaster Declaration
1826,3/2/2009,Illinois,Severe Winter Storm,Major Disaster Declaration
2796,2/28/2009,Texas,Wilderness Ridge Fire,Fire Management Assistance Declaration
2795,2/27/2009,Texas,Rhodes Ranch Fire,Fire Management Assistance Declaration
2794,2/25/2009,Texas,Clyde Fire,Fire Management Assistance Declaration
1822,2/17/2009,Missouri,Severe Winter Storm,Major Disaster Declaration
1821,2/17/2009,Tennessee,Severe Winter Storms and Flooding,Major Disaster Declaration
1823,2/17/2009,Oklahoma,Severe Winter Storm,Major Disaster Declaration
1820,2/15/2009,Oklahoma,Severe Storms and Tornadoes,Major Disaster Declaration
1819,2/6/2009,Arkansas,Severe Winter Storm,Major Disaster Declaration
1818,2/5/2009,Kentucky,Severe Winter Storm and Flooding,Major Disaster Declaration
3303,1/30/2009,Missouri,Severe Winter Storm,Emergency Declaration
1817,1/30/2009,Washington,"Severe Winter Storm, Landslides, Mudslides, and Flooding",Major Disaster Declaration
3302,1/28/2009,Kentucky,Severe Winter Storm,Emergency Declaration
3301,1/28/2009,Arkansas,Severe Winter Storm,Emergency Declaration
1816,1/14/2009,Vermont,Severe Winter Storm,Major Disaster Declaration
3300,1/13/2009,District of Columbia (DC),56th Presidential Inauguration,Emergency Declaration
1815,1/9/2009,Maine,Severe Winter Storm and Flooding,Major Disaster Declaration
2793,1/7/2009,Colorado,Olde Stage Fire,Fire Management Assistance Declaration
1813,1/5/2009,Massachusetts,Severe Winter Storm and Flooding,Major Disaster Declaration
1814,1/5/2009,Hawaii,Severe Storms and Flooding,Major Disaster Declaration
1812,1/2/2009,New Hampshire,Severe Winter Storm,Major Disaster Declaration
1951,12/22/2010,Vermont,Severe Storm,Major Disaster Declaration
1950,12/21/2010,Arizona,Severe Storms and Flooding,Major Disaster Declaration
1949,11/24/2010,Virgin Islands,"Severe Storms, Flooding, Rockslides, and Mudslides associated with Tropical Storm Tomas",Major Disaster Declaration
1948,11/5/2010,Virgin Islands,"Severe Storms, Flooding, Mudslides, and Landslides associated with Tropical Storm Otto",Major Disaster Declaration
1947,11/2/2010,South Dakota,Severe Storms and Flooding,Major Disaster Declaration
1946,10/26/2010,Puerto Rico,"Severe Storms, Flooding, Mudslides, and Landslides associated with Tropical Storm Otto",Major Disaster Declaration
1944,10/21/2010,Wisconsin,Severe Storms and Flooding,Major Disaster Declaration
1945,10/21/2010,Nebraska,"Severe Storms, Flooding, Tornado, and Straight-line Winds",Major Disaster Declaration
1943,10/14/2010,New York,"Severe Storms, Tornadoes, and Straight-line Winds",Major Disaster Declaration
1942,10/14/2010,North Carolina,"Severe Storms, Flooding, and Straight-line Winds associated with the remnants of Tropical Storm Nicole",Major Disaster Declaration
1941,10/13/2010,Minnesota,Severe Storms and Flooding,Major Disaster Declaration
1940,10/4/2010,Arizona,Severe Storms and Flooding,Major Disaster Declaration
